"eventid","iyear","imonth","iday","country","country_txt","region","region_txt","city","latitude","longitude","multiple","success","suicide","attacktype1","attacktype1_txt","targtype1","targtype1_txt","targsubtype1","targsubtype1_txt","natlty1","natlty1_txt","guncertain1","weaptype1","weaptype1_txt","weapsubtype1","weapsubtype1_txt","weapdetail","nkill","nwound","ishostkid","ransom"
199508120011,1995,8,12,94,"Iran",10,"Middle East & North Africa","Ahvaz",31.29,48.64,0,1,0,3,"Bombing/Explosion",21,"Utilities",108,"Oil",94,"Iran",0,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type","Bombs",0,0,0,0
199508130001,1995,8,13,155,"West Bank and Gaza Strip",10,"Middle East & North Africa","Dura Al-Qara",31.96,35.23,0,1,0,2,"Armed Assault",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified",155,"West Bank and Gaza Strip",0,5,"Firearms",5,"Unknown Gun Type","Firearm",1,1,0,0
199508130002,1995,8,13,155,"West Bank and Gaza Strip",10,"Middle East & North Africa","Unknown",31.31,34.25,0,1,0,3,"Bombing/Explosion",3,"Police",23,"Police Patrol (including vehicles and convoys)",155,"West Bank and Gaza Strip",0,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type","Bomb",0,1,0,0
199508130003,1995,8,13,160,"Philippines",5,"Southeast Asia","Pilar",14.66,120.56,0,1,0,9,"Unknown",3,"Police",23,"Police Patrol (including vehicles and convoys)",160,"Philippines",0,13,"Unknown",,".",,2,1,0,0
199508130004,1995,8,13,185,"Spain",8,"Western Europe","Unknown",43,-2.61,1,1,0,3,"Bombing/Explosion",1,"Business",3,"Bank/Commerce",185,"Spain",0,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type","Explosive",0,0,0,0
199508130005,1995,8,13,185,"Spain",8,"Western Europe","Unknown",43,-2.61,1,1,0,3,"Bombing/Explosion",1,"Business",3,"Bank/Commerce",185,"Spain",0,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type","Explosive",0,0,0,0
199508130006,1995,8,13,185,"Spain",8,"Western Europe","Unknown",43,-2.61,1,1,0,3,"Bombing/Explosion",1,"Business",3,"Bank/Commerce",185,"Spain",0,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type","Explosive",0,0,0,0
199508130007,1995,8,13,185,"Spain",8,"Western Europe","Unknown",43,-2.61,1,1,0,3,"Bombing/Explosion",1,"Business",3,"Bank/Commerce",185,"Spain",0,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type","Explosive",0,0,0,0
199508130008,1995,8,13,185,"Spain",8,"Western Europe","Unknown",43,-2.61,1,1,0,3,"Bombing/Explosion",1,"Business",3,"Bank/Commerce",185,"Spain",0,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type","Explosive",0,0,0,0
199508130009,1995,8,13,185,"Spain",8,"Western Europe","Unknown",43,-2.61,1,1,0,3,"Bombing/Explosion",1,"Business",3,"Bank/Commerce",185,"Spain",0,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type","Explosive",0,0,0,0
199508130010,1995,8,13,185,"Spain",8,"Western Europe","Unknown",43,-2.61,1,1,0,3,"Bombing/Explosion",1,"Business",3,"Bank/Commerce",185,"Spain",0,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type","Explosive",0,0,0,0
199508130011,1995,8,13,185,"Spain",8,"Western Europe","Unknown",43,-2.61,1,1,0,3,"Bombing/Explosion",1,"Business",3,"Bank/Commerce",185,"Spain",0,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type","Explosive",0,0,0,0
199508130012,1995,8,13,185,"Spain",8,"Western Europe","Unknown",43,-2.61,1,1,0,3,"Bombing/Explosion",1,"Business",3,"Bank/Commerce",185,"Spain",0,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type","Explosive",0,0,0,0
199508130013,1995,8,13,185,"Spain",8,"Western Europe","Unknown",43,-2.61,1,1,0,3,"Bombing/Explosion",1,"Business",3,"Bank/Commerce",185,"Spain",0,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type","Explosive",0,0,0,0
199508130014,1995,8,13,199,"Switzerland",8,"Western Europe","Bern",46.95,7.44,0,1,0,2,"Armed Assault",19,"Transportation",100,"Train/Train Tracks/Trolley",69,"France",0,8,"Incendiary",,".","Incendiary",0,0,0,0
199508130015,1995,8,13,209,"Turkey",10,"Middle East & North Africa","Istanbul",41.01,28.95,0,1,0,3,"Bombing/Explosion",1,"Business",8,"Hotel/Resort",209,"Turkey",0,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type","Bomb",0,0,0,0
199508130016,1995,8,13,209,"Turkey",10,"Middle East & North Africa","Istanbul",41.01,28.95,0,1,0,3,"Bombing/Explosion",1,"Business",11,"Entertainment/Cultural/Stadium/Casino",209,"Turkey",0,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type","Bomb",0,0,0,0
199508130017,1995,8,13,6,"Algeria",10,"Middle East & North Africa","Algiers",36.75,3.04,0,1,0,2,"Armed Assault",14,"Private Citizens & Property",76,"House/Apartment/Residence",6,"Algeria",0,5,"Firearms",5,"Unknown Gun Type","Firearm",5,0,0,0
199508130018,1995,8,13,45,"Colombia",3,"South America","Chigorodo",7.67,-76.68,0,1,0,2,"Armed Assault",1,"Business",2,"Restaurant/Bar/Caf�",45,"Colombia",0,5,"Firearms",2,"Automatic Weapon","Automatic firearm",18,0,0,0
199508130019,1995,8,13,60,"Egypt",10,"Middle East & North Africa","Mallawi",27.73,30.84,0,1,0,1,"Assassination",14,"Private Citizens & Property",72,"Farmer",60,"Egypt",0,5,"Firearms",5,"Unknown Gun Type","Firearm",1,0,0,0
199508130032,1995,8,13,185,"Spain",8,"Western Europe","Unknown",43,-2.61,0,1,0,3,"Bombing/Explosion",2,"Government (General)",21,"Government Building/Facility/Office",185,"Spain",0,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type","Explosive",0,0,0,0
199508130033,1995,8,13,185,"Spain",8,"Western Europe","Unknown",43,-2.61,0,1,0,3,"Bombing/Explosion",16,"Telecommunication",90,"Telephone/Telegraph",185,"Spain",0,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type","Explosive",0,0,0,0
199508140007,1995,8,14,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,1,0,1,"Assassination",20,"Unknown",,".",153,"Pakistan",0,5,"Firearms",5,"Unknown Gun Type",,1,0,0,0
199508140008,1995,8,14,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,1,0,1,"Assassination",20,"Unknown",,".",153,"Pakistan",0,5,"Firearms",5,"Unknown Gun Type",,6,0,0,0
199508140009,1995,8,14,167,"Russia",9,"Eastern Europe","Makhachkala",42.98,47.49,0,1,0,3,"Bombing/Explosion",2,"Government (General)",15,"Politician or Political Party Movement/Meeting/Rally",167,"Russia",0,6,"Explosives/Bombs/Dynamite",7,"Grenade","Grenade; Explosive; Rocket propelled grenade",0,0,0,0
199508140010,1995,8,14,209,"Turkey",10,"Middle East & North Africa","Mardin",37.31,40.73,0,1,0,2,"Armed Assault",4,"Military",39,"Paramilitary",209,"Turkey",0,5,"Firearms",5,"Unknown Gun Type","Firearm",3,0,0,0
199508140011,1995,8,14,228,"Yemen",10,"Middle East & North Africa","Sanaa",15.33,44.21,0,0,0,1,"Assassination",2,"Government (General)",15,"Politician or Political Party Movement/Meeting/Rally",228,"Yemen",0,5,"Firearms",5,"Unknown Gun Type","Firearm",0,0,0,0
199508150001,1995,8,15,183,"South Africa",11,"Sub-Saharan Africa","Cape Town",-33.93,18.43,0,0,0,4,"Hijacking",6,"Airports & Aircraft",42,"Aircraft (not at an airport)",183,"South Africa",0,8,"Incendiary",20,"Gasoline or Alcohol","Petroleum bomb",0,0,1,0
199508150002,1995,8,15,92,"India",6,"South Asia","Jammu",32.73,74.86,0,1,0,3,"Bombing/Explosion",20,"Unknown",,".",92,"India",0,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type","Explosive",0,10,0,0
199508150003,1995,8,15,145,"Nicaragua",2,"Central America & Caribbean","Managua",12.14,-86.25,0,1,0,3,"Bombing/Explosion",8,"Educational Institution",49,"School/University/Educational Building",145,"Nicaragua",0,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type","Explosive",0,0,0,0
199508160001,1995,8,16,185,"Spain",8,"Western Europe","San Vicente De La Barquera",43.39,-4.4,0,1,0,3,"Bombing/Explosion",19,"Transportation",100,"Train/Train Tracks/Trolley",185,"Spain",0,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type","Explosive",0,0,0,0
199508160002,1995,8,16,209,"Turkey",10,"Middle East & North Africa","Diyarbakir",37.92,40.21,0,1,0,2,"Armed Assault",19,"Transportation",99,"Bus (excluding tourists)",209,"Turkey",0,5,"Firearms",5,"Unknown Gun Type","Firearm",2,9,0,0
199508160003,1995,8,16,92,"India",6,"South Asia","Howrah district",22.6,88.26,0,1,0,3,"Bombing/Explosion",14,"Private Citizens & Property",84,"Political Party Member/Rally",92,"India",0,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type","Explosive",0,14,0,0
199508160004,1995,8,16,92,"India",6,"South Asia","Calcutta",22.57,88.36,0,1,0,3,"Bombing/Explosion",19,"Transportation",99,"Bus (excluding tourists)",92,"India",0,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type","Explosive",0,1,0,0
199508160005,1995,8,16,217,"United States",1,"North America","Bridgeton",38.76,-90.41,0,1,0,5,"Hostage Taking (Barricade Incident)",1,"Business",3,"Bank/Commerce",217,"United States",0,5,"Firearms",3,"Handgun","Semiautomatic pistols, fake pipe bomb, smoke grenade, and a live grenade",0,0,0,0
199508170006,1995,8,17,182,"Somalia",11,"Sub-Saharan Africa","Mogadishu",2.04,45.34,0,1,0,9,"Unknown",14,"Private Citizens & Property",77,"Laborer (General)/Occupation Identified",,".",0,13,"Unknown",,".",,3,9,0,0
199508170007,1995,8,17,185,"Spain",8,"Western Europe","Arnedo",42.23,-2.1,0,1,0,3,"Bombing/Explosion",3,"Police",22,"Police Building (headquarters, station, school)",185,"Spain",0,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type","Explosive",0,40,0,0
199508170008,1995,8,17,6,"Algeria",10,"Middle East & North Africa","Algiers",36.75,3.04,0,1,0,3,"Bombing/Explosion",4,"Military",27,"Military Barracks/Base/Headquarters/Checkpost",6,"Algeria",0,6,"Explosives/Bombs/Dynamite",15,"Vehicle","Car bomb",2,0,0,0
199508170009,1995,8,17,60,"Egypt",10,"Middle East & North Africa","Samalout",28.3,30.7,0,1,0,2,"Armed Assault",3,"Police",23,"Police Patrol (including vehicles and convoys)",60,"Egypt",0,5,"Firearms",5,"Unknown Gun Type","Firearm",4,0,0,0
199508170010,1995,8,17,69,"France",8,"Western Europe","Paris",48.86,2.35,0,1,0,3,"Bombing/Explosion",20,"Unknown",,".",,".",0,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type","Explosive",0,17,0,0
199508170011,1995,8,17,75,"Germany",8,"Western Europe","Mannheim",49.48,8.48,0,0,0,7,"Facility/Infrastructure Attack",2,"Government (General)",21,"Government Building/Facility/Office",235,"Yugoslavia",0,8,"Incendiary",,".","Incendiary",0,0,0,0
199508180002,1995,8,18,157,"Papua New Guinea",12,"Australasia & Oceania","Arawa",-6.23,155.57,0,1,0,2,"Armed Assault",4,"Military",29,"Military Unit/Patrol/Convoy",157,"Papua New Guinea",0,5,"Firearms",2,"Automatic Weapon","Automatic firearm",2,2,0,0
199508180003,1995,8,18,603,"United Kingdom",8,"Western Europe","Brightlingsea",51.82,1.02,0,1,0,2,"Armed Assault",3,"Police",25,"Police Security Forces/Officers",216,"Great Britain",0,9,"Melee",23,"Knife or Other Sharp Object","Knife",0,1,0,0
199508180004,1995,8,18,45,"Colombia",3,"South America","Cajamarca district",4.44,-75.43,0,1,0,6,"Hostage Taking (Kidnapping)",7,"Government (Diplomatic)",45,"Diplomatic Personnel (outside of embassy, consulate)",216,"Great Britain",0,13,"Unknown",,".",,0,0,1,1
199508180005,1995,8,18,60,"Egypt",10,"Middle East & North Africa","Minya",28.09,30.76,0,1,0,7,"Facility/Infrastructure Attack",1,"Business",9,"Farm/Ranch",60,"Egypt",0,5,"Firearms",5,"Unknown Gun Type","Firearm",2,1,0,0
199508190002,1995,8,19,153,"Pakistan",6,"South Asia","Korangi",24.83,67.13,0,1,0,1,"Assassination",20,"Unknown",,".",153,"Pakistan",0,13,"Unknown",,".",,1,1,0,0
199508190003,1995,8,19,6,"Algeria",10,"Middle East & North Africa","Mila",36.45,6.26,0,1,0,1,"Assassination",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified",6,"Algeria",0,9,"Melee",23,"Knife or Other Sharp Object","Decapitated; Burned",9,0,0,0
199508200001,1995,8,20,6,"Algeria",10,"Middle East & North Africa","Algiers",36.75,3.04,0,0,0,1,"Assassination",10,"Journalists & Media",53,"Newspaper Journalist/Staff/Facility",6,"Algeria",0,5,"Firearms",5,"Unknown Gun Type","Firearm",0,1,0,0
199508200002,1995,8,20,61,"El Salvador",2,"Central America & Caribbean","San Salvador",13.69,-89.2,1,1,0,2,"Armed Assault",19,"Transportation",99,"Bus (excluding tourists)",61,"El Salvador",0,8,"Incendiary",,".","Incendiary",0,0,0,0
199508200003,1995,8,20,61,"El Salvador",2,"Central America & Caribbean","San Salvador",13.69,-89.2,1,1,0,2,"Armed Assault",19,"Transportation",99,"Bus (excluding tourists)",61,"El Salvador",0,8,"Incendiary",,".","Incendiary",0,0,0,0
199508210001,1995,8,21,157,"Papua New Guinea",12,"Australasia & Oceania","Soraken",-5.57,154.79,0,1,0,2,"Armed Assault",2,"Government (General)",21,"Government Building/Facility/Office",157,"Papua New Guinea",0,8,"Incendiary",,".","Incendiary",0,0,0,0
199508210002,1995,8,21,157,"Papua New Guinea",12,"Australasia & Oceania","Arawa",-6.23,155.57,0,1,0,2,"Armed Assault",2,"Government (General)",17,"Head of State",157,"Papua New Guinea",0,8,"Incendiary",,".","Incendiary",,,0,0
199508210003,1995,8,21,157,"Papua New Guinea",12,"Australasia & Oceania","Arawa",-6.23,155.57,0,1,0,2,"Armed Assault",2,"Government (General)",17,"Head of State",157,"Papua New Guinea",0,8,"Incendiary",,".","Incendiary",0,0,0,0
199508210004,1995,8,21,182,"Somalia",11,"Sub-Saharan Africa","Hargeisa",9.56,44.07,0,1,0,6,"Hostage Taking (Kidnapping)",7,"Government (Diplomatic)",,".",198,"Sweden",0,13,"Unknown",,".",,0,0,1,0
199508210005,1995,8,21,92,"India",6,"South Asia","Unknown",,,0,1,0,6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified",92,"India",0,13,"Unknown",,".",,0,0,1,0
199508210006,1995,8,21,92,"India",6,"South Asia","Unknown",,,0,1,0,6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified",92,"India",0,13,"Unknown",,".",,0,0,1,0
199508210008,1995,8,21,97,"Israel",10,"Middle East & North Africa","Jerusalem",31.77,35.21,0,1,1,3,"Bombing/Explosion",19,"Transportation",99,"Bus (excluding tourists)",97,"Israel",0,6,"Explosives/Bombs/Dynamite",13,"Suicide (carried bodily by human being)","Suicide bomb",6,100,0,0
199508210009,1995,8,21,217,"United States",1,"North America","St. Petersburg",27.77,-82.64,0,1,0,7,"Facility/Infrastructure Attack",5,"Abortion Related",40,"Clinics",217,"United States",0,8,"Incendiary",,".","Incendiary",0,0,0,0
199508220020,1995,8,22,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,1,0,1,"Assassination",3,"Police",25,"Police Security Forces/Officers",153,"Pakistan",0,13,"Unknown",,".",,0,1,0,0
199508220021,1995,8,22,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,1,0,1,"Assassination",3,"Police",25,"Police Security Forces/Officers",153,"Pakistan",0,13,"Unknown",,".",,0,1,0,0
199508220022,1995,8,22,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,1,0,1,"Assassination",3,"Police",25,"Police Security Forces/Officers",153,"Pakistan",0,13,"Unknown",,".",,0,1,0,0
199508220023,1995,8,22,167,"Russia",9,"Eastern Europe","Moscow",55.75,37.62,0,0,0,3,"Bombing/Explosion",7,"Government (Diplomatic)",46,"Embassy/Consulate",217,"United States",0,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type","Explosive",0,0,0,0
199508230001,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,1,0,2,"Armed Assault",22,"Violent Political Party",110,"Party Office/Facility",,".",0,5,"Firearms",2,"Automatic Weapon","Automatic firearm",0,0,0,0
199508230002,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,0,0,1,"Assassination",20,"Unknown",,".",153,"Pakistan",0,5,"Firearms",5,"Unknown Gun Type",,0,1,0,0
199508230003,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,0,0,1,"Assassination",20,"Unknown",,".",153,"Pakistan",0,5,"Firearms",5,"Unknown Gun Type",,0,1,0,0
199508230004,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,0,0,1,"Assassination",20,"Unknown",,".",153,"Pakistan",0,5,"Firearms",5,"Unknown Gun Type",,0,1,0,0
199508230005,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,0,0,1,"Assassination",20,"Unknown",,".",153,"Pakistan",0,5,"Firearms",5,"Unknown Gun Type",,0,1,0,0
199508230006,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,0,0,1,"Assassination",20,"Unknown",,".",153,"Pakistan",0,5,"Firearms",5,"Unknown Gun Type",,0,1,0,0
199508230007,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,0,0,1,"Assassination",20,"Unknown",,".",153,"Pakistan",0,5,"Firearms",5,"Unknown Gun Type",,0,1,0,0
199508230008,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,0,0,1,"Assassination",20,"Unknown",,".",153,"Pakistan",0,5,"Firearms",5,"Unknown Gun Type",,0,1,0,0
199508230009,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,0,0,1,"Assassination",20,"Unknown",,".",153,"Pakistan",0,5,"Firearms",5,"Unknown Gun Type",,0,1,0,0
199508230010,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,0,0,1,"Assassination",20,"Unknown",,".",153,"Pakistan",0,5,"Firearms",5,"Unknown Gun Type",,0,1,0,0
199508230011,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,0,0,1,"Assassination",20,"Unknown",,".",153,"Pakistan",0,5,"Firearms",5,"Unknown Gun Type",,0,1,0,0
199508230012,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,0,0,1,"Assassination",20,"Unknown",,".",153,"Pakistan",0,5,"Firearms",5,"Unknown Gun Type",,0,1,0,0
199508230013,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,0,0,1,"Assassination",20,"Unknown",,".",153,"Pakistan",0,5,"Firearms",5,"Unknown Gun Type",,0,1,0,0
199508230014,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,0,0,1,"Assassination",20,"Unknown",,".",153,"Pakistan",0,5,"Firearms",5,"Unknown Gun Type",,0,1,0,0
199508230015,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,0,0,1,"Assassination",20,"Unknown",,".",153,"Pakistan",0,5,"Firearms",5,"Unknown Gun Type",,0,1,0,0
199508230016,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,0,0,1,"Assassination",20,"Unknown",,".",153,"Pakistan",0,5,"Firearms",5,"Unknown Gun Type",,0,1,0,0
199508230017,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,1,0,1,"Assassination",20,"Unknown",,".",153,"Pakistan",0,5,"Firearms",5,"Unknown Gun Type",,1,0,0,0
199508230018,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,1,0,1,"Assassination",20,"Unknown",,".",153,"Pakistan",0,5,"Firearms",5,"Unknown Gun Type",,1,0,0,0
199508230019,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,1,0,1,"Assassination",20,"Unknown",,".",153,"Pakistan",0,5,"Firearms",5,"Unknown Gun Type",,1,0,0,0
199508230020,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,1,0,1,"Assassination",20,"Unknown",,".",153,"Pakistan",0,5,"Firearms",5,"Unknown Gun Type",,1,0,0,0
199508230021,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,1,0,1,"Assassination",20,"Unknown",,".",153,"Pakistan",0,5,"Firearms",5,"Unknown Gun Type",,1,0,0,0
199508230022,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,1,0,1,"Assassination",20,"Unknown",,".",153,"Pakistan",0,5,"Firearms",5,"Unknown Gun Type",,1,0,0,0
199508230023,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,1,0,1,"Assassination",20,"Unknown",,".",153,"Pakistan",0,5,"Firearms",5,"Unknown Gun Type",,1,0,0,0
199508230024,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,1,0,1,"Assassination",20,"Unknown",,".",153,"Pakistan",0,5,"Firearms",5,"Unknown Gun Type",,1,0,0,0
199508230025,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,1,0,1,"Assassination",20,"Unknown",,".",153,"Pakistan",0,5,"Firearms",5,"Unknown Gun Type",,1,0,0,0
199508230026,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,1,0,2,"Armed Assault",6,"Airports & Aircraft",43,"Airline Officer/Personnel",153,"Pakistan",0,8,"Incendiary",,".","Incendiary",0,0,0,0
199508230027,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,1,0,2,"Armed Assault",19,"Transportation",99,"Bus (excluding tourists)",153,"Pakistan",0,8,"Incendiary",,".","Incendiary",0,0,0,0
199508230028,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,0,0,1,"Assassination",22,"Violent Political Party",109,"Party Official/Candidate/Other Personnel",153,"Pakistan",0,5,"Firearms",2,"Automatic Weapon","Automatic firearm",0,1,0,0
199508230040,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,1,0,2,"Armed Assault",14,"Private Citizens & Property",73,"Vehicles/Transportation",,".",0,8,"Incendiary",,".","Incendiary",0,0,0,0
199508230041,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,1,0,2,"Armed Assault",14,"Private Citizens & Property",73,"Vehicles/Transportation",,".",0,8,"Incendiary",,".","Incendiary",0,0,0,0
199508230042,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,1,0,2,"Armed Assault",14,"Private Citizens & Property",73,"Vehicles/Transportation",,".",0,8,"Incendiary",,".","Incendiary",0,0,0,0
199508230043,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,1,0,2,"Armed Assault",14,"Private Citizens & Property",73,"Vehicles/Transportation",,".",0,8,"Incendiary",,".","Incendiary",0,0,0,0
199508230044,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,1,0,2,"Armed Assault",14,"Private Citizens & Property",73,"Vehicles/Transportation",,".",0,8,"Incendiary",,".","Incendiary",0,0,0,0
199508230045,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,1,0,2,"Armed Assault",14,"Private Citizens & Property",73,"Vehicles/Transportation",,".",0,8,"Incendiary",,".","Incendiary",0,0,0,0
199508230046,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,1,0,2,"Armed Assault",14,"Private Citizens & Property",73,"Vehicles/Transportation",,".",0,8,"Incendiary",,".","Incendiary",0,0,0,0
199508230047,1995,8,23,153,"Pakistan",6,"South Asia","Karachi",24.89,67.03,0,1,0,2,"Armed Assault",14,"Private Citizens & Property",73,"Vehicles/Transportation",,".",0,8,"Incendiary",,".","Incendiary",0,0,0,0
199508230048,1995,8,23,155,"West Bank and Gaza Strip",10,"Middle East & North Africa","Jenin",32.46,35.3,0,1,0,1,"Assassination",1,"Business",12,"Construction",97,"Israel",0,5,"Firearms",5,"Unknown Gun Type","Firearm",1,0,0,0
